Name,Start Longitude (deg),Start Latitude (deg),End Longitude (deg),End Latitude (deg)
V543,126.8121194,35.12623581,126.8651069,35.12653894
W526,128.4976922,34.76535483,128.529722,35.1266665
W526,128.5609923,35.47970869,128.5907703,35.80983494
W526,128.529722,35.1266665,128.5609923,35.47970869
W61,126.51,37.41166667,126.8373944,37.21316308
W61,126.8373944,37.21316308,127.0316667,37.09436944
W62,127.3794165,37.48741728,127.0316667,37.09436944
Y579,129.8234432,35.93573078,129.2983333,35.42027778
Y579,128.8393581,35.00914167,128.4976922,34.76535483
Y579,128.4976922,34.76535483,127.792902,34.25466028
Y579,127.792902,34.25466028,127.331378,33.91454919
Y579,127.331378,33.91454919,127.0730556,33.72222222
Y685,127.7963567,36.9316095,127.6396833,37.01970278
Y685,127.6396833,37.01970278,127.4437217,37.129056
Y685,127.4437217,37.129056,127.1124528,37.312475
Y685,127.1124528,37.312475,126.9283553,37.41361853
Y685,129.4745358,35.97719656,129.8234432,35.93573078
Y437,128.7537661,37.70077589,129.7448346,37.68673039
Y697,126.9283553,37.41361853,126.51,37.41166667
Y697,126.9283553,37.41361853,127.3794165,37.48741728
Y657,126.8121194,35.12623581,127.8185057,35.51765317
Y657,127.8185057,35.51765317,128.5907703,35.80983494
Y659,126.8969425,35.89779972,127.2616667,35.88083333
Y659,127.6144444,35.863475,128.5907703,35.80983494
Y659,128.5907703,35.80983494,129.0811111,35.90349722
Y659,129.0811111,35.90349722,129.4745358,35.97719656
A586,129.2983333,35.42027778,128.9995818,35.12263644
Y579,129.2983333,35.42027778,128.9995818,35.12263644
V549,127.2616667,35.88083333,127.6144444,35.863475
Y659,127.2616667,35.88083333,127.6144444,35.863475
Y579,127.0730556,33.72222222,126.6241196,33.38460522
A586,127.0730556,33.72222222,126.6241196,33.38460522
Y782,127.348575,36.83835833,127.500925,36.71436667
Y782,127.500925,36.71436667,127.8191722,36.45342222
Y782,127.8191722,36.45342222,128.0299697,36.27914028
Y782,128.0299697,36.27914028,128.5907703,35.80983494
Y782,128.5907703,35.80983494,128.7740249,35.50335003
Y782,128.7740249,35.50335003,128.9995818,35.12263644
Y782,126.9283553,37.41361853,126.9931833,37.21361389
Y782,126.9931833,37.21361389,127.0316667,37.09436944
Y782,127.0316667,37.09436944,127.348575,36.83835833
Y685,129.4745358,35.97719656,128.847475,36.33725833
Y685,128.847475,36.33725833,128.3254074,36.63201725
Y685,128.3254074,36.63201725,128.1644361,36.72373056
Y685,128.1644361,36.72373056,127.9527434,36.84367747
Y697,127.3794165,37.48741728,127.6644444,37.53305556
Y697,127.6644444,37.53305556,128.1352778,37.60694444
Y697,128.5844444,37.67555556,128.7537661,37.70077589
Y697,128.7537661,37.70077589,129.2918769,37.44204439
A586,128.8393581,35.00914167,128.9995818,35.12263644
Y579,128.9995818,35.12263644,128.8393581,35.00914167
Y781,128.5609923,35.47970869,128.5907703,35.80983494
Y781,128.7711111,35.125,128.5609923,35.47970869
Y781,128.8393581,35.00914167,128.7711111,35.125
Y253,128.7711111,35.125,128.9995818,35.12263644
V543,128.7711111,35.125,128.9995818,35.12263644
Y655,126.3913889,33.43472222,126.6241196,33.38460522
V549,126.7852778,35.90277778,126.8969425,35.89779972
Y659,126.7852791,35.90279712,126.8969425,35.89779972
Y711,126.8313628,36.55611046,126.8249152,36.72286047
Y722,126.9970368,36.57055773,126.9909903,36.73705139
Y711,126.785205,35.902783,126.8122132,36.15130572
G585,127.9527434,36.84367747,127.7963567,36.9316095
Y685,127.9527434,36.84367747,127.7963567,36.9316095
Z53,128.0299697,36.27914028,127.9913598,36.56138491
G597,128.1352778,37.60694444,128.5844444,37.67555556
Y697,128.1352778,37.60694444,128.5844444,37.67555556
Y722,126.6241196,33.38460522,126.6979656,33.55426278
